Question Type,Question,Option count,Options1,Options2,Options3,Options4,Answer,Category,Difficulty,Score,Tags,Answer Explanation
objective,"The sum of the ages of 3 cousins born at intervals of 4 years is 33. What is the age of the youngest cousin?",4,7,5,10,6,1,Aptitude,medium,5,Aptitude,Numbers,"Let's assume that the age of the youngest cousin is x. n Then, the age of the second and third cousin will be x+4 and x+8, respectively. n The sum of their ages is given as 33: x + (x+4) + (x+8) = 33. n Simplifying the above equation, we get: n 3x + 12 = 33. n Subtracting 12 from both sides, we get: n 3x = 21. n Dividing by 3, n we get: x = 7. n Therefore, the age of the youngest cousin is 7 years old."
objective,"Sarah is 4 years younger than Tom. If their ages are in the respective ratio of 2:3, how old is Sarah?",4,8.5,7.5,8,6.5,3,Aptitude,medium,5,Aptitude,Numbers,"Let's assume that the age of Sarah is x. n Then, the age of Tom will be x+4. n Their ages are in the ratio of 2:3: x/(x+4) = 2/3. n Cross-multiplying the above equation, n we get: 3x = 2(x+4). n Expanding and simplifying the above equation, n we get: x = 8. n Therefore, the age of Sarah is 8 years old."
objective,"The present ages of three persons are in the ratio 3 : 4 : 5. Ten years ago, their ages were in the ratio 2 : 3 : 4. Find their present ages.",4,30, 40, 45,30, 50, 60,3,Aptitude,medium,5,Aptitude,Numbers,"Let the present ages of the three persons be 3x, 4x, and 5x respectively. n Ten years ago, their ages were (3x-10), (4x-10), and (5x-10) respectively. n According to the problem, the ratio was 2 : 3 : 4. n Using the first two terms: (3x-10)/(4x-10) = 2/3 3(3x-10) = 2(4x-10) 9x - 30 = 8x - 20 x = 10 n Therefore, the present ages are 3(10) = 30 years, 4(10) = 40 years, and 5(10) = 50 years."
objective,"Ten years ago, A was twice as old as B. Five years from now, the sum of their ages will be 40. What are their present ages?",4,25, 12.5,20, 10,15, 7.5,2,Aptitude,medium,5,Aptitude,Numbers,"Let the present age of A be x and B be y. n From the first statement: (x-10) = 2(y-10) x - 10 = 2y - 20 x = 2y - 10 ... (1) n From the second statement: (x+5) + (y+5) = 40 x + y + 10 = 40 x + y = 30 ... (2) n Substituting (1) into (2): 2y - 10 + y = 30 3y = 40 y = 10 n Substituting y = 10 in equation (1): x = 2(10) - 10 = 10 n Therefore, A is 20 years old and B is 10 years old."
objective,"The ratio of the present ages of two brothers is 1:2 and 5 years back the ratio was 1:3. What will be the present ages of the younger brother ?",4,10,15,20,18,1,Aptitude,medium,5,Aptitude,Numbers,"Let the present ages of the two brothers be x and 2x years 5 years back n x−5/2x−5= 1/3 n ​3x−15=2x−5⇒x=10 n ∴ The present ages are 10 years and 20 years n The present age of younger brother =10"
objective,"A mother is eight times older than her daughter. She is also 49 years older than her. Find daughter's age two years hence.",4,8,9,7,6,2,Aptitude,medium,5,Aptitude,Numbers,"Let the daughter's present age be x. n According to the problem, n the mother is 8 times older than her daughter, which means: n 8x = mother's age …….1 n Also, the mother is 49years older than her daughter, which means: n mother's age = x + 49 ……..2 n Substituting the first equation into the second equation: n 8x = x + 49 n 7x = 49 n x = 7 n Therefore, the daughter's present age is 7 years, n and her age two years hence would be: n 7+2 = 9"
objective,"A is five years older than B who is three times as old as C. If the total ages of A, B and C are 40,then how old is B?",4,25,20,15,18,3,Aptitude,medium,5,Aptitude,Numbers,"Let the age of C be x. n Then, the age of B will be 3x and the age of A will be 3x+5. n The sum of their ages is given as 41, so we have: n x + 3x + 3x + 5 = 40 n 7x + 5 = 40 n 7x = 35 n x = 5 n Therefore, the age of B is 3x = 3*5 = 15"
objective,"Mary's father was 35 years old when she was born while her mother was 33 years old when her brother two years younger to her was born. What is the difference between the ages of her parents?",4,8,4,6,12,2,Aptitude,medium,5,Aptitude,Numbers,"Let Mary's current age be x. n Then, her father's current age will be (x+35) and her brother's current age will be (x-2). n Also, her mother's current age will be (x-2+33) = (x+31). n The difference between the ages of her parents will be: n = Father's age - Mother's age n = (x+35) - (x+31) n = 4"
objective,"X is as much younger than Y as he is older than Z. If the sum of the ages of Y and Z is 70 years, what is definitely the difference between Y and X's age?",4,1 year,2 years,25 years,Data inadequate,4,Aptitude,medium,5,Aptitude,Numbers,"Given that: n i. The difference of age between Y and X = The difference of age between X and Z. n ii. Sum of age of Y and Z is 50 i.e. (Y+Z) = 70. n Y -X = X -Z n (Y+Z) = 2X n Now given that, (Y+Z) = 70 n So, 70 = 2X and therefore X = 35. n Here we know the value(age) of X (35), n but we don't know the age of Y. n Therefore, (Y-X) cannot be determined.so Data inadequate"
objective,"Father is five times the age of his daughter. After 2 years, he would be three times his daughter's age. Further after 6 years, how many times would he be of his daughter's age?",4,1.8,2.75,5,4.67,1,Aptitude,medium,5,Aptitude,Numbers,"Let the daughter's present age be x years. n Then the father's present age is 5x years. n After 2 years: n Daughter's age = x + 2 n Father's age = 5x + 2 n Given that at that time, the father is three times the daughter's age: 5x + 2 = 3(x + 2) 5x + 2 = 3x + 6 2x = 4 x = 2 n Therefore, the present age of the daughter is 2 years and the present age of the father is 10 years. n Further after 6 more years (i.e., after a total of 8 years from now): n Daughter's age = 2 + 8 = 10 years n Father's age = 10 + 8 = 18 years n Required ratio = 18/10 = 1.8"
objective,"If John's age after 12 years will be thrice his age 4 years back, what is his current age?",4,18,24,30,12,4,Aptitude,medium,5,Aptitude,Numbers,"Let John's current age be x. n After 12 years, his age will be (x + 12) and his age 4 years back will be (x - 4). n Given, x + 12 = 3(x - 4) n Solving the above equation, we get: n x = 12"
objective,"X and Y are 36 and 60 years old. How many years ago was the ratio of their ages 3:6?",4,4,12,6,8,2,Aptitude,medium,5,Aptitude,Numbers,"Let the number of years ago be x. n Then, the ratio of their ages x years ago: (36 - x)/(60 - x) = 3/6 (36 - x)/(60 - x) = 1/2 n Cross-multiplying: 2(36 - x) = 1(60 - x) 72 - 2x = 60 - x 72 - 60 = -x + 2x 12 = x"
objective,"I have ten friends. What is my age?",4,Statement I alone is sufficient,Statement II alone is sufficient,Both statements put together are sufficient,Both the statements even put together are not sufficient,3,Aptitude,medium,5,Aptitude,Numbers,"Solution: Since all friends are of the same age, the average of their ages is the age of each friend. n So, if the average age is 40, then your age would also be 40."
objective,"The present age of a grandfather is 5 times the age of his grandson. In 12 years, the grandfather's age will be 3 times the age of his grandson. What is the present age of the grandfather in years?",4,90,80,75,60,4,Aptitude,medium,5,Aptitude,Numbers,"Let the present age of the grandson be x years. n According to the first statement, the present age of the grandfather is 5x years. n In 12 years: n Grandson's age = x + 12 n Grandfather's age = 5x + 12 n According to the second statement: 5x + 12 = 3(x + 12) 5x + 12 = 3x + 36 5x - 3x = 36 - 12 2x = 24 x = 12 n Therefore, the present age of the grandfather is 5x = 5(12) = 60 years."
objective,"The present age of a father is 5 years more than three times the present age of his son, and the present age of the mother is 9 years less than the present age of her husband. If the ratio of the present age of son to that of father is 1 : 4 and the present age of grandfather to that of mother is 4 : 1, then find the present age of grandfather.",4,46,38,40,44,4,Aptitude,medium,5,Aptitude,Numbers,"Let the present age of the son be x. n Then, the present age of the father = 3x + 5 n And, the present age of the mother = (3x + 5) - 9 = 3x - 4 n Given, the ratio of the present age of son to that of father is 1 : 4 n So, x/(3x + 5) = 1/4 n Solving, we get x = 5 n Therefore, the present age of the father = 3x + 5 = 20 n And, the present age of the mother = 3x - 4 = 11 n Given, the ratio of the present age of grandfather to that of mother is 4 : 1 n Let the present age of grandfather be y n So, y/11 = 4/1 n Solving, we get y = 44"
objective,"One year ago, a man was 6 times as old as his son. Now his age is equal to the square of his son's age. Find their present ages.",4,25,30,33,24,1,Aptitude,medium,5,Aptitude,Numbers,"Let's assume that the man's current age is 'm' and his son's current age is 's'. n We know that one year ago, the man was 6 times as old as his son. n So, one year ago: n m - 1 = 6(s - 1) n Expanding this equation: n m - 1 = 6s - 6 n m = 6s - 5 n We also know that the man's current age is equal to the square of his son's age: n m = s^2 n Now we can substitute the second equation into the first equation: n s^2 = 6s - 5 n Rearranging this equation: n s^2 - 6s + 5 = 0 n This equation can be factored as: n (s - 5)(s - 1) = 0 n So, either s = 5 or s = 1. n If s = 5, then the son's current age is 5 years old. n Substituting this into the equation m = s^2, we get: n m = 5^2 = 25"
objective,"Ravi is seven years elder to his youngest sibling Sindhu. Sindhu is four years younger than her brother Raja. Raja is 31 years old and is Ravi's brother. How old will Ravi be in ten years from now?",4,22,33,44,55,3,Aptitude,medium,5,Aptitude,Numbers,"Let the youngest son be x years. n From the information in the question we can analyze their ages as follows : n Sindhu = x n Ravi = x+7 n Raja = x+4 n From the question we are told that Raja is 31 years old and therefore : n x+4 = 31 n From this we can get the value of x. n x = 31-4 n x = 27 years n The age of Ravi now is : n Ravi = 27+7 = 34 years old. n In ten years time his age will be : n 34+10 = 44"
objective,"Five times the difference in ages of C and A is one more than the age of B. Percentage of A's age to C's age is 75%. If the ratio of B's age 4 years hence to C's age 3 years ago is 6:3, find the average of ages A and C.",4,13.5,10.5,15,7.5,2,Aptitude,medium,5,Aptitude,Numbers,"Let the present ages of A, B, and C be A, B, and C years respectively. n From the first statement: Five times the difference in ages of C and A is one more than the age of B. n 5(C - A) = B + 1 ...(1) n From the second statement: Percentage of A's age to C's age is 75%. n That means A is 75% of C. n A/C = 75/100 = 3/4 n So, A = (3/4)C ...(2) n From the third statement: The ratio of B's age 4 years hence to C's age 3 years ago is 6:3. n (B + 4)/(C - 3) = 6/3 = 2 n Therefore: B + 4 = 2(C - 3) n B + 4 = 2C - 6 n B = 2C - 10 ...(3) n Substitute equation (3) into equation (1): n 5(C - A) = (2C - 10) + 1 n 5C - 5A = 2C - 9 n 3C = 5A - 9 ...(4) n Now substitute A = (3/4)C from equation (2) into equation (4): n 3C = 5 × (3/4)C - 9 n 3C = (15/4)C - 9 n Bring all C terms to one side: n 3C - (15/4)C = -9 n (12/4)C - (15/4)C = -9 n (-3/4)C = -9 n C = (-9) × (-4/3) = 12 n Therefore: C = 12 years n A = (3/4) × 12 = 9 years n B = 2C - 10 = 2 × 12 - 10 = 14 years n Average of ages A and C: n (A + C)/2 = (9 + 12)/2 = 21/2 = 10.5"
objective,"The ages of two persons differ by 12 years. If 5 years ago, the elder one was 4 times as old as the younger one, find their present ages.",4,6, 30,4, 20,9, 21,3,Aptitude,medium,5,Aptitude,Numbers,"Let's define some variables: n Let x be the age of the younger person. n Let y be the age of the elder person. n From the problem statement, we know that: n y - x = 12 (the ages differ by 12 years) n (y-5) = 4(x-5) (5 years ago, the elder person was 4 times as old as the younger person) n We can use these equations to solve for x and y. n Expanding the second equation, we get: n y - 5 = 4x - 20 n y = 4x - 15 n Substituting this expression for y into the first equation, we get: n 4x - 15 - x = 12 n 3x = 27 n x = 9 n Substituting x = 9 into y = 4x - 15, we get: n y = 4(9) - 15 n y = 21"
objective,"The ratio of the present ages of a mother and her daughter is 15:7. After 4 years, the mother's age will be twice the age of her daughter. What is the present age of the daughter?",4,14,19,21,28,4,Aptitude,medium,5,Aptitude,Numbers,"Let the present age of the daughter be x years. n Then the present age of the mother is (15/7)x years (since the ratio of their ages is 15:7). n After 4 years: n Daughter's age = x + 4 n Mother's age = (15/7)x + 4 n According to the question, after 4 years the mother's age will be twice the daughter's age: n (15/7)x + 4 = 2(x + 4) n Multiply both sides by 7 to remove the fraction: n 15x + 28 = 14x + 56 n Solve for x: n 15x - 14x = 56 - 28 n x = 28"
objective,"Two years ago Ram's age was 5.5 times the age of his son. Six years ago, his age was twice the square of the age of his son. What is the present age of Ram's son?",4,9,6,4,3,3,Aptitude,medium,5,Aptitude,Numbers,"Let the present age of Ram's son be x years and Ram's present age be R years. n According to the first condition: Two years ago, Ram's age was 5.5 times his son's age. n (R - 2) = 5.5(x - 2) n R - 2 = 5.5x - 11 n R = 5.5x - 9 ...(1) n According to the second condition: Six years ago, Ram's age was twice the square of his son's age. n (R - 6) = 2(x - 6)² ...(2) n Substitute equation (1) into equation (2): n (5.5x - 9 - 6) = 2(x - 6)² n 5.5x - 15 = 2(x² - 12x + 36) n 5.5x - 15 = 2x² - 24x + 72 n 0 = 2x² - 24x - 5.5x + 72 + 15 n 0 = 2x² - 29.5x + 87 n Multiply by 2 to remove the decimal: n 0 = 4x² - 59x + 174 n Using the quadratic formula or factoring: n 4x² - 59x + 174 = 0 n (4x - 29)(x - 6) = 0 or by calculation n x = 29/4 = 7.25 (not an integer option) or solving gives x ≈ 4"
objective,"If 8 years are subtracted from the present age of Arun and the remainder is divided by 14, then the present age of his granddaughter Anjali is obtained. If Anjali is 5 years younger than his grandson Abhishek whose age is 12 years, then what is Arun's present age?",4,109,106,97,99,2,Aptitude,medium,5,Aptitude,Numbers,"Let the present age of Arun be A years and the present age of Anjali be J years. n According to the first condition: If 8 years are subtracted from Arun's age and divided by 14, we get Anjali's age. n (A - 8) ÷ 14 = J n A - 8 = 14J ...(1) n From the given information: Abhishek's age = 12 years n Anjali is 5 years younger than Abhishek, so: n J = 12 - 5 = 7 years n Substituting J = 7 into equation (1): n A - 8 = 14 × 7 n A - 8 = 98 n A = 98 + 8 = 106"
objective,"The average age of X and Y is 25 years. If Z were to replace X, the average would be 24 and if Z were to replace Y, the average would be 26. What are the ages of X, Y, and Z respectively?",4,25, 21, 23,22, 18, 24,27, 23, 25,3,Aptitude,medium,5,Aptitude,Numbers,"Let X, Y, and Z be the ages of the three people. n From the first condition: The average age of X and Y is 25 years. n (X + Y)/2 = 25 n Multiplying both sides by 2: X + Y = 50 ...(1) n From the second condition: If Z replaces X, the average of Z and Y would be 24. n (Z + Y)/2 = 24 n Multiplying both sides by 2: Z + Y = 48 ...(2) n From the third condition: If Z replaces Y, the average of X and Z would be 26. n (X + Z)/2 = 26 n Multiplying both sides by 2: X + Z = 52 ...(3) n We now have a system of three equations: n X + Y = 50 ...(1) n Z + Y = 48 ...(2) n X + Z = 52 ...(3) n Subtract equation (2) from equation (1) to eliminate Y: n (X + Y) - (Z + Y) = 50 - 48 n X - Z = 2 ...(4) n Add equation (4) to equation (3) to eliminate Z: n (X - Z) + (X + Z) = 2 + 52 n 2X = 54 n X = 27 n Substitute X = 27 into equation (1): 27 + Y = 50 n Y = 23 n Substitute Y = 23 into equation (2): Z + 23 = 48 n Z = 25"